bookno,Title,Author,Language
19909-8.txt, Good Cheer Stories Every Child Should Know, Various, English
24121.txt, As Long As You Wish, John O'Keefe, English
346-0.txt, The Troll Garden and Selected Stories, Willa Cather, English
13799.txt, Old Fires and Profitable Ghosts, A. T. Quiller-Couch, English
38996-0.txt, Dix contes modernes des meilleurs auteurs du jour, Guy de Maupassant, French
39541-0.txt, Donna Paola, Matilde Serao, Italian
24874.txt," Lucy Maud Montgomery Short Stories, 1902 to 1903", Lucy Maud Montgomery, English
50893.txt, The Great Nebraska Sea, Allan Danzig, English
15933-8.txt, Stories of Childhood, Various, English
8492-8.txt, The King in Yellow, Robert W. Chambers, English
58773.txt, Les Machines, Joe Love, English
59323.txt, Bleedback, Winston Marks, English
58673-8.txt, It Takes a Thief, Walter Miller, English
24878-8.txt," Lucy Maud Montgomery Short Stories, 1909 to 1922", Lucy Maud Montgomery, English
24716-8.txt, The heart of happy hollow, Paul Laurence Dunbar, English
59309.txt, Forced Move, Henry Lee, English
1444-8.txt, The Voice of the City, O. Henry, English
2777-8.txt, Cabbages and Kings, O. Henry, English
14273-8.txt, Invisible Links, Selma Lagerlof, English
24393-0.txt, Our Casualty And Other Stories," James Owen Hannay, AKA George A. Birmingham", English
24876.txt," Lucy Maud Montgomery Short Stories, 1905 to 1906", Lucy Maud Montgomery, English
11714-8.txt, Contes de la Becasse, Guy de Maupassant, French
760.txt, Enoch Soames, Max Beerbohm, English
59015-0.txt, The Shadowy Third and Other Stories, Ellen Glasgow, English
38616-8.txt, Where Love Is There God Is Also, Lyof N. Tolstoi, English
299-0.txt, Tales From Two Hemispheres, Hjalmar Hjorth Boysen, English
26867.txt, John Jones's Dollar, Harry Stephen Keeler, English
24811-0.txt, Viking Tales, Jennie Hall, English
50044-0.txt, Romantic legends of Spain, Gustavo Adolfo Bécquer, English
28645.txt, Lost in the Future, John Victor Peterson, English
50479-8.txt, Far-away Stories, William J. Locke, English
59255.txt, Easy Does It, E. G. von Wald, English
40969-8.txt, The Mating of the Moons, Kenneth O'Hara, English
